Puzzle,Solution,
.4..51..2...4.3....5..823.......6..43...9..8...2..5.9.1........8....4.3...9...1.5,743951862268473951951682347597836214314297586682145793136529478825714639479368125,
.791......1.....3....8.72..25....9...3.6.............86.5.2.18....7...5....9....2,379162845812549736564837291256478913738691524941253678695324187123786459487915362,
7..5..83132.4........8..7..483.6.12..1..............63.76...51...4.8....5........,749526831328471659165893742483769125612354987957218463876932514294185376531647298,
..8....9.9...3.4...3.....2....6..58.2...5.3....79....2.....9.6..9.5.2..864.......,568274193921836457734195826319627584286451379457983612875349261193562748642718935,
..287..1.8..9...7...............48......192..1..73...66.......4....96...78..4..2.,462873915835961472917452368376524891548619237129738546693287154254196783781345629,
..8.396...9.......1...5..27.72.16...8......7..1.....9.6..39......57.....9....82..,758239641294671853163854927572916438849523176316487592621395784485762319937148265,
.......7..61....8.......4.........2.48.251.....6..79...4..6.2.8..7..5.4.5...2...6,354918672961472583872536491715693824489251367236847915143769258627385149598124736,
.4...8..63...2189.1..3...4..2..4..........9....6.......7.1...3...27.....6.1.9248.,245978316367421895189356742923645178854217963716839524578164239492783651631592487,
.........8..2.71.5...951...9..83............9182......5...4823.7..1.5......3..9..,251483796839267145674951328967834512345612879182579463596748231723195684418326957,
...7..86.98.6.2..31..8....9.3.1...85....9..........216...3..........76.......6791,345719862987642153126835479732164985561298347498573216679381524214957638853426791,
