Puzzle,Solution,
.....7...4.6...7..5....42..8.1....763..5....824.3....5....4..3.6..2.5........86..,923157864416823759578964213851492376369571428247386195782649531634215987195738642,
...........6...95.5..9..2..2.3..4.7...92...........43..6..45...91......5.5..7.1..,891452367426783951537961284283514679649237518175698432762145893918326745354879126,
...9.7....4....76.....62.8417.....43......61...3...8.27....6..9.31.....6..2...47.,586947321249813765317562984178629543925438617463175892754286139831794256692351478,
..9.135...5....812...5.....8...7...1.41.......93.........48..9.5.......7.2..3.4..,489213576356749812172568349865374921241956738793821654617485293534692187928137465,
.........5....2....3....9..2..84..6..495...8....7..52...4.....66...3....35.6.4.72,416985237598372641732461958275843169149526783863719524984257316627138495351694872,
............86..9..8.41.567.7914...5..2.5.....5.....8424.7..1...........7..2.....,564379218127865493983412567879143625432658971651927384248736159396581742715294836,
...17...63.14.9.......56...8.75..3.......7....1.......98.....14.5....8.....78..3.,598173426361429578274856193827561349435297681619348257982635714753914862146782935,
..9.58..4.451..8..6...3.....37....95.....9..79.8.1.....6.....31.....6..........48,379658214245197863681234579437862195126549387958713426864925731713486952592371648,
.89...5....2.......65..4........74.....3...8....6.2..5..7...829..4....3.3..89....,789216543432578961165934278653187492241359687978642315517463829894725136326891754,
.7...9..52..85...7.4.2.7.839.436.........25....6.......8.....76..3.....2.92...3..,678439215231856497549217683954361728317982564826574139485123976163795842792648351,
